product_id,product_name,category,unit_cost,selling_price,safety_stock
P00001,Olive Oil 001,Grocery,1.48,1.75,157
P00002,Cereal Box 002,Grocery,13.86,18.96,122
P00003,Children's Story 003,Books,6.75,9.83,59
P00004,Laptop Stand 004,Electronics,605.12,899.46,54
P00005,Office Chair 005,Furniture,1457.79,2179.01,37
P00006,Denim Jeans 006,Clothing,109.25,201.05,59
P00007,Football 007,Sports,69.06,108.14,42
P00008,Vitamin C Tablets 008,Pharmacy,81.68,133.78,118
P00009,Children's Story 009,Books,9.33,14.7,110
P00010,Water Bottle 010,Sports,297.13,532.81,22
P00011,Wooden Desk 011,Furniture,2364.59,4704.72,37
P00012,Olive Oil 012,Grocery,8.22,10.16,193
P00013,Water Bottle 013,Sports,190.53,337.07,64
P00014,Olive Oil 014,Grocery,12.57,14.47,286
P00015,Denim Jeans 015,Clothing,77.41,137.01,111
P00016,Yoga Mat 016,Sports,424.57,782.57,34
P00017,Gym Gloves 017,Sports,212.56,286.18,78
P00018,Water Bottle 018,Sports,122.06,201.33,76
P00019,Desk Organizer 019,Office Supplies,13.14,18.0,193
P00020,Antiseptic Spray 020,Pharmacy,75.97,110.69,124
P00021,Tennis Racket 021,Sports,125.27,250.32,52
P00022,Tomato Sauce 022,Grocery,15.36,20.86,139
P00023,Running Shorts 023,Clothing,121.93,234.37,48
P00024,Children's Story 024,Books,37.77,63.48,62
P00025,USB-C Charger 025,Electronics,712.26,887.35,54
P00026,Yoga Mat 026,Sports,73.55,118.0,49
P00027,Vitamin C Tablets 027,Pharmacy,97.33,161.29,114
P00028,Pain Relief Gel 028,Pharmacy,84.96,127.83,75
P00029,Gym Gloves 029,Sports,386.01,647.56,69
P00030,USB-C Charger 030,Electronics,639.05,891.76,27
P00031,Vitamin C Tablets 031,Pharmacy,27.75,37.31,122
P00032,Cereal Box 032,Grocery,14.91,20.05,294
P00033,Denim Jeans 033,Clothing,32.33,63.86,110
P00034,Allergy Pills 034,Pharmacy,55.13,86.22,77
P00035,Storage Cabinet 035,Furniture,2196.26,3468.54,31
P00036,Dumbbell Set 036,Sports,230.29,382.81,27
P00037,Wooden Desk 037,Furniture,379.27,498.64,27
P00038,Wooden Desk 038,Furniture,220.13,395.24,11
P00039,Cereal Box 039,Grocery,18.2,24.71,118
P00040,Wooden Desk 040,Furniture,979.74,1606.57,27
P00041,Ballpoint Pens 041,Office Supplies,20.95,32.19,154
P00042,Pasta Pack 042,Grocery,2.84,3.49,208
P00043,Notebook Pack 043,Office Supplies,69.38,92.07,75
P00044,Notebook 044,Books,45.05,84.71,43
P00045,Wooden Desk 045,Furniture,732.58,1182.41,23
P00046,Antiseptic Spray 046,Pharmacy,48.95,84.42,59
P00047,Basmati Rice 047,Grocery,1.96,2.74,103
P00048,Bookshelf 048,Furniture,665.67,1091.66,16
P00049,USB-C Charger 049,Electronics,248.17,298.02,44
P00050,Sticky Notes 050,Office Supplies,24.25,39.97,192
P00051,Desk Organizer 051,Office Supplies,14.07,20.38,64
P00052,Laptop Stand 052,Electronics,773.18,945.5,57
P00053,Cotton T-Shirt 053,Clothing,22.68,45.54,63
P00054,Cereal Box 054,Grocery,13.83,16.19,130
P00055,Bookshelf 055,Furniture,1820.97,2417.92,12
P00056,Football 056,Sports,468.66,676.27,65
P00057,Coffee Table 057,Furniture,943.72,1313.29,30
P00058,Notebook Pack 058,Office Supplies,26.66,44.68,68
P00059,Notebook Pack 059,Office Supplies,50.45,79.79,75
P00060,Office Chair 060,Furniture,1616.48,2251.3,21
P00061,Bed Frame 061,Furniture,1234.68,1741.42,36
P00062,Allergy Pills 062,Pharmacy,63.11,113.11,133
P00063,Bluetooth Speaker 063,Electronics,701.08,996.82,26
P00064,Pain Relief Gel 064,Pharmacy,15.97,20.19,120
P00065,Pain Relief Gel 065,Pharmacy,31.77,42.14,93
P00066,Vitamin C Tablets 066,Pharmacy,53.01,71.6,56
P00067,Notebook 067,Books,50.61,72.19,72
P00068,Antiseptic Spray 068,Pharmacy,20.35,29.81,140
P00069,Noise Cancelling Headphones 069,Electronics,200.69,316.69,29
P00070,Laptop Stand 070,Electronics,851.14,1219.69,29
P00071,Hoodie 071,Clothing,20.65,38.51,45
P00072,Bed Frame 072,Furniture,2109.79,3727.69,21
P00073,Notebook 073,Books,58.56,108.32,60
P00074,Running Shorts 074,Clothing,133.99,204.31,82
P00075,Bookshelf 075,Furniture,947.06,1753.16,13
P00076,USB-C Charger 076,Electronics,872.73,1124.93,49
P00077,Vitamin C Tablets 077,Pharmacy,82.95,142.91,78
P00078,Coffee Table 078,Furniture,1315.7,1967.0,12
P00079,Gym Gloves 079,Sports,327.91,518.02,73
P00080,Dumbbell Set 080,Sports,470.83,650.09,36
P00081,First Aid Kit 081,Pharmacy,8.63,13.45,94
P00082,Tennis Racket 082,Sports,229.47,456.41,27
P00083,Bed Frame 083,Furniture,913.22,1640.28,10
P00084,Coffee Table 084,Furniture,1219.82,1645.51,31
P00085,Football 085,Sports,338.43,469.48,77
P00086,Cough Syrup 086,Pharmacy,68.35,95.4,139
P00087,Casual Shirt 087,Clothing,40.9,88.55,88
P00088,Cotton T-Shirt 088,Clothing,98.09,176.66,110
P00089,Allergy Pills 089,Pharmacy,32.26,47.03,124
P00090,Gym Gloves 090,Sports,243.19,391.42,33
P00091,Sticky Notes 091,Office Supplies,63.91,113.75,93
P00092,Black Tea 092,Grocery,6.39,8.3,258
P00093,Black Tea 093,Grocery,16.55,21.93,272
P00094,Wooden Desk 094,Furniture,2458.38,3449.47,11
P00095,Stapler 095,Office Supplies,49.68,83.67,166
P00096,Wooden Desk 096,Furniture,2211.37,3469.16,22
P00097,Running Shorts 097,Clothing,103.57,155.93,53
P00098,Bookshelf 098,Furniture,692.48,1364.58,26
P00099,Laptop Stand 099,Electronics,601.67,942.81,27
P00100,Winter Jacket 100,Clothing,123.19,267.02,111
P00101,Water Bottle 101,Sports,476.02,915.86,59
P00102,Study Manual 102,Books,50.68,87.61,50
P00103,Desk Organizer 103,Office Supplies,37.11,62.19,120
P00104,Sticky Notes 104,Office Supplies,50.89,73.14,69
P00105,Vitamin C Tablets 105,Pharmacy,27.28,38.23,119
P00106,Casual Shirt 106,Clothing,35.36,66.58,59
P00107,Bookshelf 107,Furniture,379.84,602.17,27
P00108,Children's Story 108,Books,8.42,16.0,79
P00109,Laptop Stand 109,Electronics,871.06,1312.02,44
P00110,Laptop Stand 110,Electronics,948.47,1251.45,44
P00111,Office Chair 111,Furniture,1567.04,2336.54,25
P00112,Study Manual 112,Books,23.49,42.46,81
P00113,Winter Jacket 113,Clothing,128.47,310.84,119
P00114,Wireless Mouse 114,Electronics,916.24,1316.41,21
P00115,Programming Guide 115,Books,12.46,20.9,36
P00116,Business Book 116,Books,23.0,38.47,73
P00117,Vitamin C Tablets 117,Pharmacy,76.44,129.88,82
P00118,Ballpoint Pens 118,Office Supplies,3.51,5.51,139
P00119,Basmati Rice 119,Grocery,15.84,20.52,293
P00120,Wooden Desk 120,Furniture,758.21,996.49,14
P00121,Running Shorts 121,Clothing,78.93,127.42,67
P00122,First Aid Kit 122,Pharmacy,77.86,101.27,127
P00123,Basmati Rice 123,Grocery,15.78,18.13,179
P00124,Laptop Stand 124,Electronics,936.0,1338.78,44
P00125,Wooden Desk 125,Furniture,412.79,736.18,30
P00126,Cereal Box 126,Grocery,14.25,16.96,275
P00127,Black Tea 127,Grocery,16.13,20.48,110
P00128,Programming Guide 128,Books,41.38,59.64,112
P00129,Laptop Stand 129,Electronics,864.62,1321.95,26
P00130,Dumbbell Set 130,Sports,325.08,611.18,65
P00131,Programming Guide 131,Books,14.69,25.16,113
P00132,Printer Paper 132,Office Supplies,38.26,65.53,118
P00133,Bookshelf 133,Furniture,2526.05,3437.11,38
P00134,Bookshelf 134,Furniture,2301.33,3909.72,31
P00135,Tennis Racket 135,Sports,33.78,64.04,31
P00136,Bed Frame 136,Furniture,1193.51,1767.41,18
P00137,Vitamin C Tablets 137,Pharmacy,57.8,87.28,74
P00138,Wooden Desk 138,Furniture,2216.21,3639.03,34
P00139,Notebook Pack 139,Office Supplies,52.38,80.95,54
P00140,First Aid Kit 140,Pharmacy,26.05,42.07,89
P00141,Water Bottle 141,Sports,247.17,413.18,47
P00142,Football 142,Sports,188.87,305.52,39
P00143,Storage Cabinet 143,Furniture,537.84,771.7,13
P00144,Casual Shirt 144,Clothing,40.86,91.47,75
P00145,Pain Relief Gel 145,Pharmacy,98.15,166.81,87
P00146,Dumbbell Set 146,Sports,106.13,139.02,54
P00147,First Aid Kit 147,Pharmacy,9.32,11.49,87
P00148,Cotton T-Shirt 148,Clothing,101.11,227.78,53
P00149,Vitamin C Tablets 149,Pharmacy,49.59,72.61,73
P00150,Antiseptic Spray 150,Pharmacy,94.4,140.34,58
P00151,Ballpoint Pens 151,Office Supplies,7.78,12.56,63
P00152,Denim Jeans 152,Clothing,124.5,304.92,50
P00153,Cereal Box 153,Grocery,11.6,14.21,252
P00154,Bookshelf 154,Furniture,2371.94,3715.09,39
P00155,Allergy Pills 155,Pharmacy,86.72,155.58,89
P00156,Smart Watch 156,Electronics,648.67,970.43,33
P00157,Wooden Desk 157,Furniture,941.01,1276.79,17
P00158,Cereal Box 158,Grocery,3.97,4.85,276
P00159,Sticky Notes 159,Office Supplies,24.72,35.0,122
P00160,Sticky Notes 160,Office Supplies,7.55,10.7,117
P00161,Wooden Desk 161,Furniture,1390.39,2337.51,30
P00162,Cough Syrup 162,Pharmacy,83.53,103.81,71
P00163,First Aid Kit 163,Pharmacy,46.72,69.2,88
P00164,Business Book 164,Books,56.85,96.66,93
P00165,Black Tea 165,Grocery,12.36,16.89,288
P00166,Allergy Pills 166,Pharmacy,7.46,9.98,136
P00167,Noise Cancelling Headphones 167,Electronics,999.62,1468.35,37
P00168,Smart Watch 168,Electronics,786.8,999.3,53
P00169,Stapler 169,Office Supplies,73.45,102.15,199
P00170,Printer Paper 170,Office Supplies,77.59,119.1,154
P00171,Tennis Racket 171,Sports,341.66,649.3,41
P00172,Notebook Pack 172,Office Supplies,24.48,43.39,190
P00173,Stapler 173,Office Supplies,8.87,12.65,79
P00174,Wireless Mouse 174,Electronics,691.89,980.43,46
P00175,Storage Cabinet 175,Furniture,1651.63,2866.97,25
P00176,Ballpoint Pens 176,Office Supplies,61.28,85.9,190
P00177,Vitamin C Tablets 177,Pharmacy,46.62,75.48,65
P00178,Bed Frame 178,Furniture,2187.39,3319.42,10
P00179,Business Book 179,Books,10.13,20.21,44
P00180,Black Tea 180,Grocery,13.31,15.26,283
P00181,Pain Relief Gel 181,Pharmacy,44.47,66.24,110
P00182,Sticky Notes 182,Office Supplies,45.0,67.13,180
P00183,Hoodie 183,Clothing,131.64,233.83,93
P00184,Allergy Pills 184,Pharmacy,82.95,113.62,88
P00185,Printer Paper 185,Office Supplies,69.49,105.85,173
P00186,Football 186,Sports,284.92,478.78,49
P00187,Wooden Desk 187,Furniture,2946.17,4322.51,22
P00188,Business Book 188,Books,7.4,13.67,120
P00189,Notebook 189,Books,59.36,111.33,113
P00190,Notebook Pack 190,Office Supplies,77.26,105.31,134
P00191,Sticky Notes 191,Office Supplies,9.78,17.17,53
P00192,Cotton T-Shirt 192,Clothing,70.35,151.59,59
P00193,Sticky Notes 193,Office Supplies,62.96,90.19,151
P00194,Pasta Pack 194,Grocery,17.18,23.29,236
P00195,Gym Gloves 195,Sports,320.86,616.44,51
P00196,Bluetooth Speaker 196,Electronics,655.71,848.43,38
P00197,Tomato Sauce 197,Grocery,9.25,10.45,262
P00198,Basmati Rice 198,Grocery,9.43,12.34,107
P00199,Tennis Racket 199,Sports,402.15,605.38,43
P00200,Denim Jeans 200,Clothing,47.97,91.72,63
P00201,Casual Shirt 201,Clothing,25.66,60.84,119
P00202,Bookshelf 202,Furniture,1593.47,2721.98,17
P00203,Cough Syrup 203,Pharmacy,48.66,77.86,109
P00204,Hoodie 204,Clothing,24.97,61.06,115
P00205,Notebook 205,Books,42.97,71.94,68
P00206,Children's Story 206,Books,51.93,76.03,78
P00207,Yoga Mat 207,Sports,295.91,590.31,38
P00208,Study Manual 208,Books,20.1,34.97,117
P00209,Bluetooth Speaker 209,Electronics,919.56,1377.56,38
P00210,Water Bottle 210,Sports,125.12,179.31,36
P00211,Hoodie 211,Clothing,99.81,239.88,45
P00212,Notebook Pack 212,Office Supplies,4.6,6.82,83
P00213,Pain Relief Gel 213,Pharmacy,36.04,52.23,75
P00214,Dumbbell Set 214,Sports,274.81,532.98,73
P00215,First Aid Kit 215,Pharmacy,91.83,162.22,87
P00216,Dumbbell Set 216,Sports,406.03,660.95,24
P00217,Bed Frame 217,Furniture,2608.39,4713.23,22
P00218,Gym Gloves 218,Sports,63.35,99.85,36
P00219,Black Tea 219,Grocery,9.64,12.55,272
P00220,Study Manual 220,Books,50.23,98.66,43
P00221,Bed Frame 221,Furniture,1520.14,2635.44,40
P00222,Water Bottle 222,Sports,459.32,668.29,24
P00223,Notebook Pack 223,Office Supplies,72.93,105.83,154
P00224,Cotton T-Shirt 224,Clothing,21.12,32.47,103
P00225,Pasta Pack 225,Grocery,5.46,6.89,199
P00226,Gym Gloves 226,Sports,341.83,622.2,80
P00227,Study Manual 227,Books,37.3,68.48,83
P00228,Basmati Rice 228,Grocery,16.84,21.63,171
P00229,Football 229,Sports,124.29,200.27,35
P00230,Black Tea 230,Grocery,19.64,23.77,265
P00231,Laptop Stand 231,Electronics,458.33,584.79,27
P00232,Basmati Rice 232,Grocery,13.59,17.57,252
