inventory_id,product_id,product_name,category,supplier_id,supplier_name,warehouse,current_stock,reorder_point,max_stock
INV000001,P00001,Olive Oil 001,Grocery,S00006,Daily Grocers,WH-01,214,157,942
INV000002,P00002,Cereal Box 002,Grocery,S00006,Daily Grocers,WH-02,262,122,732
INV000003,P00003,Children's Story 003,Books,S00019,Global Books,WH-01,94,59,354
INV000004,P00004,Laptop Stand 004,Electronics,S00003,Smart Devices Inc,WH-01,193,54,324
INV000005,P00005,Office Chair 005,Furniture,S00012,WoodCraft Ltd,WH-01,91,37,222
INV000006,P00006,Denim Jeans 006,Clothing,S00007,Cotton World,WH-02,82,59,354
INV000007,P00007,Football 007,Sports,S00016,Active Gear,WH-05,106,42,252
INV000008,P00008,Vitamin C Tablets 008,Pharmacy,S00013,MediSource,WH-02,405,118,708
INV000009,P00009,Children's Story 009,Books,S00021,Global Books,WH-04,389,110,660
INV000010,P00010,Water Bottle 010,Sports,S00016,Active Gear,WH-05,79,22,132
INV000011,P00011,Wooden Desk 011,Furniture,S00011,Modern Furniture Co,WH-01,140,37,222
INV000012,P00012,Olive Oil 012,Grocery,S00004,Fresh Foods Co,WH-03,625,193,1158
INV000013,P00013,Water Bottle 013,Sports,S00017,SportMax,WH-02,103,64,384
INV000014,P00014,Olive Oil 014,Grocery,S00005,Daily Grocers,WH-01,390,286,1716
INV000015,P00015,Denim Jeans 015,Clothing,S00008,Cotton World,WH-03,160,111,666
INV000016,P00016,Yoga Mat 016,Sports,S00017,SportMax,WH-03,111,34,204
INV000017,P00017,Gym Gloves 017,Sports,S00016,Active Gear,WH-04,264,78,468
INV000018,P00018,Water Bottle 018,Sports,S00018,SportMax,WH-04,107,76,456
INV000019,P00019,Desk Organizer 019,Office Supplies,S00022,Paper & Pens Co,WH-03,758,193,1158
INV000020,P00020,Antiseptic Spray 020,Pharmacy,S00015,PharmaCare Inc,WH-03,440,124,744
INV000021,P00021,Tennis Racket 021,Sports,S00018,SportMax,WH-01,101,52,312
INV000022,P00022,Tomato Sauce 022,Grocery,S00004,Fresh Foods Co,WH-02,477,139,834
INV000023,P00023,Running Shorts 023,Clothing,S00008,Cotton World,WH-02,68,48,288
INV000024,P00024,Children's Story 024,Books,S00019,Global Books,WH-03,159,62,372
INV000025,P00025,USB-C Charger 025,Electronics,S00002,TechSource Ltd,WH-03,216,54,324
INV000026,P00026,Yoga Mat 026,Sports,S00016,Active Gear,WH-03,143,49,294
INV000027,P00027,Vitamin C Tablets 027,Pharmacy,S00013,MediSource,WH-01,250,114,684
INV000028,P00028,Pain Relief Gel 028,Pharmacy,S00015,PharmaCare Inc,WH-02,237,75,450
INV000029,P00029,Gym Gloves 029,Sports,S00018,SportMax,WH-02,255,69,414
INV000030,P00030,USB-C Charger 030,Electronics,S00001,Smart Devices Inc,WH-04,86,27,162
INV000031,P00031,Vitamin C Tablets 031,Pharmacy,S00014,PharmaCare Inc,WH-05,449,122,732
INV000032,P00032,Cereal Box 032,Grocery,S00004,Fresh Foods Co,WH-03,995,294,1764
INV000033,P00033,Denim Jeans 033,Clothing,S00007,Cotton World,WH-01,227,110,660
INV000034,P00034,Allergy Pills 034,Pharmacy,S00014,PharmaCare Inc,WH-03,179,77,462
