sale_id,date,product_id,product_name,category,quantity_sold
SALE0000001,2025-01-01,P00001,Olive Oil 001,Grocery,54
SALE0000002,2025-01-02,P00001,Olive Oil 001,Grocery,43
SALE0000003,2025-01-03,P00001,Olive Oil 001,Grocery,75
SALE0000004,2025-01-04,P00001,Olive Oil 001,Grocery,71
SALE0000005,2025-01-05,P00001,Olive Oil 001,Grocery,68
SALE0000006,2025-01-06,P00001,Olive Oil 001,Grocery,57
SALE0000007,2025-01-07,P00001,Olive Oil 001,Grocery,53
SALE0000008,2025-01-08,P00001,Olive Oil 001,Grocery,109
SALE0000009,2025-01-09,P00001,Olive Oil 001,Grocery,51
SALE0000010,2025-01-10,P00001,Olive Oil 001,Grocery,115
SALE0000011,2025-01-11,P00001,Olive Oil 001,Grocery,94
SALE0000012,2025-01-12,P00001,Olive Oil 001,Grocery,44
SALE0000013,2025-01-13,P00001,Olive Oil 001,Grocery,43
SALE0000014,2025-01-14,P00001,Olive Oil 001,Grocery,51
SALE0000015,2025-01-15,P00001,Olive Oil 001,Grocery,67
SALE0000016,2025-01-16,P00001,Olive Oil 001,Grocery,69
SALE0000017,2025-01-17,P00001,Olive Oil 001,Grocery,104
SALE0000018,2025-01-18,P00001,Olive Oil 001,Grocery,117
SALE0000019,2025-01-19,P00001,Olive Oil 001,Grocery,43
SALE0000020,2025-01-20,P00001,Olive Oil 001,Grocery,111
SALE0000021,2025-01-21,P00001,Olive Oil 001,Grocery,65
SALE0000022,2025-01-22,P00001,Olive Oil 001,Grocery,109
SALE0000023,2025-01-23,P00001,Olive Oil 001,Grocery,93
SALE0000024,2025-01-24,P00001,Olive Oil 001,Grocery,68
SALE0000025,2025-01-25,P00001,Olive Oil 001,Grocery,97
SALE0000026,2025-01-26,P00001,Olive Oil 001,Grocery,115
SALE0000027,2025-01-27,P00001,Olive Oil 001,Grocery,75
SALE0000028,2025-01-28,P00001,Olive Oil 001,Grocery,40
SALE0000029,2025-01-29,P00001,Olive Oil 001,Grocery,60
SALE0000030,2025-01-30,P00001,Olive Oil 001,Grocery,94
SALE0000031,2025-01-31,P00001,Olive Oil 001,Grocery,83
SALE0000032,2025-02-01,P00001,Olive Oil 001,Grocery,75
SALE0000033,2025-02-02,P00001,Olive Oil 001,Grocery,59
SALE0000034,2025-02-03,P00001,Olive Oil 001,Grocery,67
